,word_id,word,up_votes,down_votes,author,definition
28927,71080,little man in the boat,281,161,a6c97ba3,A clitoris. It looks like a little man in a boat. AKA little boy in the boat
29971,73723,roman soldier,145,50,c827d112,When you lay your cock across the length of someone's nose imitating the protective nose guard of the ancient Roman Soldier's helmet.
30181,74240,man goo,103,28,c77d8f65,"Cum, sperm, smegma."
30276,74457,manatee,451,78,ae617bca,"A nice little animal thing that swims around and is cool and gentle and harmless, but gets fucked up by boats going to fast."
31405,77118,manwich,174,123,a6c97ba3,"n. ;; A popular brand of sloppy joe sandwich sold at grocery chains such as Krogers. ;; Used commonly as a euphemism for the essence of the man, the male genitalia and penis, as it is 'sandwiched' in between two other biological tissues."
32108,78928,man boobs,131,43,f4790076,Anson Pham's massive chest
32570,79923,Going Commando,744,645,96beb0fe,"If a person is 'going commando', they are not wearing any underwear. ;; It is called 'going commando' because of an old practice in the army, where, so you didn't shit your underwear in battle, you didn't wear any - and therefore could boast that you didn't shit your pants. ;; Also a known cure for [vpl]."
32578,79937,ice cream man,129,32,45fe6ca5,"neighborhood coke dealer, nuthing less then kilos."
32884,80812,man tits,105,30,30c3e930,lumps of fat on a man where tits would be found on a woman
33535,82506,Spiderman,132,121,2884b1fd,Peter Parker.
33968,83505,Spiderman,7025,1744,a1804acb,"When a girl is going down on you, and just before you climax you pull out of her mouth and nut in your own hand. Then fling the jism in her face, as you jump to your feet, making sure to properly mimic Spidey's web slinging hand motions. Now stand in a position of bravery, and power like any superhero would. Be sure not to react when she yells at you. Stand tall and proud, not too many guys get the chance to do that these days."
33983,83531,tradesman's entrance,187,21,2c566deb,The arse.
36582,90195,man candy,383,150,403a39db,"an attractive, desirable man. A hot guy that chicks dig"
37199,92039,mandy moore,520,317,65a4c7aa,The definition of sexy.
38201,94703,snowman,715,93,2a553cc9,a word used in reference to a coke dealer that you do not personally know
38380,95322,little man in the boat,585,221,5b4d32ce,slang for clitoris... a little man sailing the big vagina sea
40762,101559,mangiacake,115,46,53de348,Italian-Canadian term for a Canadian person of Anglo-Saxon descent (derogatory). Similar to 'caker'.
40896,101913,man-boobs,158,21,65f4886b,fatty deposits resembiling breasts (on a man)
40950,102034,Letterman,109,148,23d1b200,the funniest late night show host today. much funnier than [jay leno].
41554,103419,Little man syndrome,385,201,1a1a572c,When a small man feels the need to out do a normal size man in order to feel bigger then he is.
42353,105245,repo man,264,103,5ff1ff01,the guy who comes and takes away your stuff.
42694,106013,man utd,155,130,9b0d404d,English football team
44068,109023,Pyromaniac,470,143,3c502820,A person who likes to burn or blow things up
44758,110503,orangeman,311,176,98f79036,"inbred, protestant Ulsterman slightly to the right of the Ku Klux Klan with a propensity for the behinds of pimply faced schoolboys"
46129,113489,manboobs,360,189,503799,The breast of a fat chunky male
48604,119136,Hulkamania,390,76,e0305e67,The strongest force in the universe.
49018,120071,man cunt,268,61,c412a5ad,The name of an effeminate homosexual male's anus when well used by other homosexuals.
50022,122245,norman bates,107,22,2f3cb2a0,A psycho. Someone with obsessive behavior or scary eyes
50072,122342,kleptomaniac,111,232,57f63022,"A bastard who steals your shit and doesn't think twice about it, a very compulsive retard"
51121,124691,man milk,107,55,6e405a67,jiz juice
51330,125111,man boobs,128,40,b30270a9,"HOO HOOS!!! also known as titsas, that are used for sqeezing and sexual pleasure for the male species. They can be various sizes and are edible."
52269,127266,manchester cunts,124,75,1132041,fucking arse licking bastards who dont even live in manchester but brag about their team winning the premiership
52417,127570,go commando,349,57,1b107c90,"to dress without underpants / knickers, but be otherwise normally attired"
52422,127583,evolution of man,173,80,f3c7523e,1. a poo or epic proportions; very long and typically unbroken poo that starts in the drain and works its way up to the edge of the water in the toilet. ;; 2. poo that looks like it is crawling its way out
52549,127870,manipulator,136,44,a6c97ba3,See: [politician]
53470,129825,woman on top,534,153,f3c7523e,"The male lies on his back while his partner straddles his torso. She controls the rhythm and depth of penetration. He lies flat with movement restricted somewhat by her weight and his lack of leverage. Some women prefer to lay forward so she may kiss her mate, while others choose to sit up straight. Regardless of which you prefer, an interesting idea is to just rock back and forth or in a circular motion while resting on your partner's body. There is more clitoral stimulation this way, and it also has the advantage of the feeling of deep penetration, which some women really like. Another great advantage is that this motion is less stimulating for a man, and he can often last longer this way."
58615,141718,mana,172,87,cbe352e2,One sexy man
58647,141802,man sex,205,83,22ef19a2,When 2 or more men have sexual intercourse
58991,142596,hugh jackman,215,114,da8b2a8c,the hottest man alive! (played wolverine in x-men) the only man who deserves the title of 'sex-god'
60298,145319,frenchman,149,87,4b53c5a1,frinch'-man: A male human from/residing in France.
60523,145859,manitoba,157,61,eefc032c,The province in the middle of [Canada]. Provincial flower is the crocus. License plates say 'Friendly Manitoba' for a reason.
60622,146059,Woman,4065,2150,5539913c,"1. Female of the human species. For counterpart, see also [Man]. ;; 2. Is neither inherently superior, nor inferior to the male. What she lacks, he possesses and vice versus. Only distinguishable via genitalia. ;; 3. Generally an emotional creature due to inherent hormonal physically traits resultant of genitalia necessary for child bearing. ;; 4. Physically weaker than the male and, due to societal emphasis on physical prowess, tends to be forced/assume the role of an inferior or subservient creature thus the 'prettier' of the species. ;; 5. Tends to think with the right brain (creative) and thusly tends to be more creative than male counterpart. ;; 6. Eve: purveryed of sin into the world. ;; 7. Biologically, the muscular system of the female is considerably less developed than that of the male, however the bone structure/density of the female is far superior (as necessary for biological reproduction), thus contributing to the longer life span of the female. ;; 8. When treated right, best damn thing any man could ever hope to have."
60750,146292,go commando,127,29,a6c97ba3,not wearing undergarments
60866,146522,mangiacake,178,80,bb86481f,A derogatory Italo-Canadian term for a person of Anglo descent. A term used with great contempt and disdain for the 'cakers'.
62795,150496,Woman,7295,1756,d6e27e95,"A fully-grown female, the younger of which a [word]girl[/word]."
63062,151055,Jumpman,163,80,5051d32f,The character who appeared in the original [word] Donkey Kong [/word] game. Now called [word] Mario [/word].
64342,153746,Woman,7480,2432,c0ec174f,1)what i live my life for.2) should be placed on a pedestal.3) the gender of the human race that will not love any of these perverts that write this horrible shit about them.4)everything a real man cares about
64409,153888,battyman,147,44,e9d8ea6d,Jamaican /N. London patois slang for a homosexual
65191,155609,man dingo,119,77,fea7fc27,the art of being extremely player with a big load
66056,157531,Batman,1803,645,93050c8e,"1. Normal ordinary man, originally the best super hero with no super powers, but can still fight crime and beat supervillians with just his fist and gadgets (i.e. shark repellant, suction boots etc.)"
66477,158414,man,2911,937,a6c97ba3,"1) a gender of the human race, not necessarily better or worse than females. ;; 2) generally a person who will do incredibly stupid things for a piece of ass. ;; 3) the perfect specimen: one who can comprehend that women are not 'meant to stay in the kitchen and/or bed', nor are they 'life-support systems for vaginas', but are a complimentary addition to their existence."
67356,160213,frenchman,106,174,e1bc2aaf,Frog
67359,160216,afroman,280,94,e1bc2aaf,"I wasn't gonna run from the cops, but I was high....I was gonna pull right over and stop, but I was high....now I'm a paraplegic and I know why! cause I got high cause I got high, because I got hiiiiiiiieeegh"
68008,161467,mank,137,125,b00c99b4,"some horrible dirty bastard from Manchester (Mostley known for steeling off old women). Most people who are from manchester are on the dole or stuck in dead end jobs, most of them have a drug adiction, they speak with horrible acents, wear kappa clothing and drink shandy"
68610,162718,human,978,401,82f32156,The smartest creature in the world that still acts like a dumb animal from time to time.
69426,164453,pottermania,1280,951,3d709493,"Fanaticism surrounding fictional characters and themes contained within a series of [book]s written by [J.K Rowling], namely '[Harry Potter]'."
72027,170038,womanizer,548,1038,a9fa7ca3,To pursue women lecherously.
72032,170047,mandals,203,74,ddc2b3bd,"(noun)-man sandal-a men's summer shoe, that consists of black or brown leather that covers more than 50% of the foot, buckles and a thick sole."
72294,170578,manga,579,224,e7d45f73,"'Manga' are Japanese comic books/graphic novels. The word literally means 'whimsical pictures' in Japanese. ;; Manga is different from American comic books in many ways, which is why it is sometimes translated as graphic novels. Comic books in America tend to be colored, sold in thin booklets, and written for a teenage male audience. Manga is almost always black and white, serialized in manga collections before being sold in bound books, and has many different genres appealing to many different audiences. There are romantic manga for adult women, mob dramas for older men, cute fantasy comedies for young girls, and much, much more. Just about everyone in Japan reads manga, and there is something to suit every taste. ;; Manga series are often animated into television shows and movies. See [anime]."
72433,170856,minute man,457,99,b5f2d23b,guy who comes too quick during sex and doesn't get the girl off
73265,172545,man,211,365,31f0d3de,1) Male ;; 2) General term for humans (See [Mankind]) ;; 3) Exclamation of disbelief.
74143,174333,Candyman,148,86,359bf8ca,candyman which had a movie created after him also had a myth left behind. the object of seeing candy man was to stare into a mirror at any time and chant his name 3 times. eventually he will appear behind you with his hand replaced by a hook and wearing a trenchcoat.
74230,174515,Charmander,465,196,75e0d01c,"Even the newborns have flaming tails. Unfamiliar with fire, babies are said to accidentally burn themselves. The flame on its tail show the strength of its life force. If it is weak, the flame also burns weakly. If it is healthy, the flame burns brightly. Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
74848,175757,Girly man,578,131,8b1f53cc,Justin Timberlake
75281,176640,human,189,76,a6c97ba3,"God's first, only, and greatest mistake, assuming that there is a God."
75454,176996,Necromancer,214,66,6618fd09,A magik(c) user who is devoted to the study of life and death and specialises in spells and incantations to with people both alive and dead.
75878,177914,human,778,327,a913be3d,Incredibly arrogant creatures who seem to think that they are the only species on this planet.
76574,179316,man boobs,162,76,6f0ccb02,"When a lardass's breastesses exceed the size of his female partners, and he needs some support in that region."
76904,179993,wingman,572,238,98ed9616,"taking one for the team, so your buddy can live the dream ;; song: wingman - coors light ;; This chick's rockin' your bro on the dance floor, but she towing an anchor, a junior investment banker... she's talken about her self and not much more, wohh ohhh, so buy her a beer.. that's the reason your here... mighty wingman ;; your taking one for the team, so your buddy can live the dream..."
76928,180063,Nazi Germany,124,31,a6c97ba3,"The time from 1933 to 1945 when [Hitler] and the [Nazi]s controlled [Germany]. The Nazis were very racist towards Jews and removed their rights, which is why many people left Germany during that time."
77138,180460,welshman,196,107,c54a1207,The only race in the British Isles possessed of a full set of teeth and chromosomes.
77433,181054,manager,272,64,f8727160,The career goal of every employee too useless or lazy to do any REAL work
77463,181112,Scatman John,205,42,2ee18dc2,Professor of scat
78052,182217,mankind,117,27,154b5b33,one of the three faces of foley (best selling author and pro rassler). three time world heavyweight champion (wwf). term also sometimes used to describe the human race (don't know what that has to do with mankind though)
78711,183523,man dingo,800,461,a6c97ba3,a HUGE black penis
79922,185886,roman shower,130,47,d45fd809,"similar to golden shower, only involving vomit instead"
80431,186874,batman,5557,789,a43458c8,Bruce Wayne.
80907,187807,Battyman,259,73,d8b7b5c4,Derogatry term about a gay man. Origniated in Jamaica. Also known as digiman or Ja rule.
82452,190819,Natalie Portman,641,1534,b9052c12,"from ancient hebrew, meaning 'goddess who walks among us.'"
83879,193637,Natalie Portman,314,1417,3260983,"Greatest, Most Beautiful And Wonderful Movie Star EVER!"
85048,195960,Roadman,150,345,3a487948,A humanoid creature that is substantially pure evil. It can often be mistaken for a human and can easily be addicted to happiness. ;; See EthoDemon.
85154,196167,manboob,305,66,fe1f2e03,"Something that fat guys have, similar to a woman's breasts, but nowhere near as attractive"
85802,197333,Scatman John,354,101,4f2d99b7,"Scatman John used his stutter, which had haunted him since childhood, to his advantage to bring old school scatting to the mass market."
85906,197533,manpussy,359,172,8a31c0c7,A loose sloppy rectum; usually gaping with semen dripping out of it.Generally refering to a homosexual males rectum.
87595,200838,dennis rodman,231,64,ab086b62,One bad mofo. the best defensive forward to ever play at the NBA level. Gave shaq fits and that is why everyone should love him.
90639,206859,Natalie Portman,111,1355,fe4e323d,Hebrew for: 'genious being'
91203,207982,man,191,350,dea92040,A creature that at times can be wonderful and others a pain in the ass. Most varieties come with assorted size and colored penises. Useful in the reproduction of new beings. Handy around the house when something needs fixing and is always there to fulfill sexual needs and desires. :-)
91613,208839,man-gina,107,218,437430ac,man vagina
91807,209214,Germans,731,310,a6c97ba3,Great people! They are also very good car engineers! ;; Some German Car Makes: ;; Audi ;; BMW ;; Mercedes-Benz ;; Volkswagen ;; Porsche
91952,209503,romantic,182,122,1f9faea7,"To be Romantic: To embody a certain ideal as a partner, or to be creative and innovative in a relationship. ;; In general a view on love, based on novells from the 18th century which introduced the concept of [word]love[/word]. ;; In current standards often outdated."
92190,209951,antiman,106,29,a6c97ba3,Someone who is gay
93006,211565,human,128,37,a5c2ca6c,"Easily sucked into the Abyss of their own Profane Madness, they are delicate, feeble, and power-hungry savages that live only to breed and to pass on their pathetic genes to the next generation in order to ensure their own existence."
93878,213210,goatse man,196,56,ba1fe9b7,Name given to the man posing in the picture on goatse.cx which consists of a man ripping his posterior apart.
94696,214828,Roadman,156,318,d7dcb7f2,The facist dictator of unreasonable school classes. Does not promote drug use even though is suspected of manufacturing 'Happiness' in her basement.
94744,214932,manga,207,171,a5c2ca6c,"graphic novels, not mango, this guy in a bookstore thought i was talking about mango once"
95149,215741,welshman,110,61,60e7cda2,A man from Wales.
95259,215988,Azumanga Daioh,205,66,3d12bf89,One of the better anime's out there
95433,216305,manboobies,172,49,7ff90114,"Big pointy extrusions from a man's chest, usually a source of erotic pleasure, embarrasment, and your mom's dentures."
97356,219976,man boobs,2065,435,28ac72a,Moobs......
97538,220367,Azumanga Daioh,193,72,c98231a8,The Kickin' Rad anime about a group of friends in high school... and small children being seriously injured.
97713,220717,manhandle,135,196,417deb92,To fondle in an intimate manner.
98751,222753,pac-man,544,91,189a6232,"A yellow pizza missing one slice. He apparently has no eyes, lives in the 2nd dimension, has a wife that wears lipstick and a bow, and has a child that wears a beanie. He eats pellets and runs from ghosts. On lucky days, he eats pellets that enable him to devour those same ghosts. Occasionally, he eats fruits...or pretzels."
101213,227654,charles manson,532,159,95a957f4,"A cult leader from the 1960's who is still considered the 'most dangerous man in America'. Even after his incarceration, his followers still recruit more people to join his cause and there are new members every day."
101454,228151,man toe,166,77,2fff72a1,the male version of the camel toe.
104587,234170,sheman,145,78,4fc62c77,"Chick with a dick, usually found in Thailand, also known as lady boys"
104722,234393,you're the man now dog,181,89,b4f3e219,"verbal gratification given to one's 'dog,' to inform them that they are in fact The Man now."
105590,236153,Candyman,410,164,f6504db9,A drug dealer.
107202,239419,see a man about a horse,162,501,e73227f0,urination by a male
107261,239536,rainman,200,89,e73227f0,A nerd; one who may be smart or particularly knowledgeable in some areas but socially or otherwise developmentally retarded
108644,242422,human,108,23,67f3a249,"A race on 'Earth', that makes it's way through all there is by enslaving or destroying anyone or anything in it's way. ;; Claims to be civilised and moral, but fails to demonstrate it through it's actions. ;; Also is not to be trusted. These humans will betray you or anyne else if it serves their purpose. ;; Suffers from a severe superiority complex."
110669,246415,manky,108,77,d9dd63be,"Foul, putrid, crawling, nasty, odiferous."
110835,246740,manboobs,222,104,503799,"the pectoral protrusions of a man. Not to be confused with [word]bitchtits[/word] which are much bigger and more womanly. Manboobs can get pretty big tho, check out those sumo wrestlers. Phwoar."
112546,250100,Azumanga Daioh,308,29,a4b54b49,"A rather quirky but wholly entertaining anime, chronicling the high school years of seven schoolgirls(Kaorin, Sakaki, Osaka, Chiyo, Tomo, Yomi, and Kagura) and their three teachers(Kimura, Yukari, and Minamo). Based off of a four panel manga by Azuma Kiyohiko."
113294,251487,Megaman,370,92,b741c3c7,"A robot created by Dr. Light to defend the earth in the 20XX era against Dr. Wily's (Dr. Light's previous lab assistant) repeated attempts of global domination. He does so armed with a plasma cannon on one arm and thrusters equipped into his boots. He also works with ocassional assistance form his 'little sister', Roll, his robotic dog, Rush, and his 'older brother', Protoman. ;; *NOTE: In Japan, Megaman is Rockman and Protoman is Blues. This line of naming runs along musical themes: Blues, Rock and Roll. Forte/Bass joins the series later on. Support units Rush, Tango, Beat, and Gospel/Treble also fit this name basis."
113392,251705,Enter sandman,281,44,8bbf6610,A very popular song off the 'Black Albumn' from Metallica. The black albumn was billboards #1 album that year
113889,252682,Krung thep mahanakhon bovorn ratanakosin mahintharayutthaya mahadilok pop noparatratchathani burirom udomratchanivetma hasathan amornpiman avatarnsa thit sakkathattiyavisnukarmprasit,167,57,310b67c2,"1. The longest name for a city world. The poetic name for Bangkok, the capital of Thailand. ;; 2. A word Bill Gates looks at while masterbating."
114583,254055,chi chi man,413,95,6a7a4699,'chi chi' is patois for termite (pest) and is a derogotary term for a homo-sexual. i.e. a gay person is as low as a termite
115477,255787,Ultraman,209,86,3d6c126d,"A cool red and silver Japanese superhero from Nebula M-78, the Land of Light, who beats the everliving crud out of big rubber monsters. Since 1966, there have been some 16 spinoffs and counting."
116355,257492,noman,120,40,f695abd5,sweet pusy cat.but i like him very much.
117222,259158,Roman Polanski,146,94,3de6cca4,A disgusting bastard who raped a child. He is the reason I don't give a damn about the Oscars anymore.
117379,259475,man,1862,893,7272d349,Something you say when everything goes wrong.
117834,260372,kool aid man,358,46,c1b81a70,"A crazy giant beverage who breaks through walls in order to save humans from the minor inconvenience of thirst. Has the inability to use normal methods of entry, such as the door or gate. Has caused over 900 trillion dollars worth of property damage in his lifetime."
118145,260998,mancs,237,193,fb8feaf3,"dirty, scumy, mampy, prawn sandwhich eating cock suckers. Bunch of ass holes!"
118464,261627,manila,349,227,85182f62,where da finest bitch are
118492,261687,nauman,162,38,30e9b0f0,A collection of blessing
122331,269313,human,963,278,1b82c9ae,"A species of idiots that, unfortunately, WE ALL belong to."
123432,271406,chi chi man,188,98,a6c97ba3,homo
123737,271986,seagull manager,265,31,d9d532e4,"A manager who flies in, makes a lot of noise, craps on everything, and then leaves."
124510,273411,human toilet,300,89,e5686436,a slave who eats both shit and piss.
124523,273441,manga,2553,465,97a2e793,"Contrary to what most people in the West think, manga (both the singular and plural form are the same) have NOTHING to do with pronorgraphy. Some manga are pornographic, but that's just a small percentage of manga. ;; Manga, in Japanese, means 'flowing words' or 'Undisciplined words'. It is an ancient art that has been used for centuries as a form of entertainment. It's basicallt Japanese comic books, which can be easily translated to English. However, just saying manga are comics from Japan is wrong. ;; First of all, in the US and in Europe, most comics are addressed to young children between the ages of 9 and 13. That is not the case of manga. There are 6-7 major types of manga, each having its own audience. Kodomo manga is for children. Shonen manga is for boys ages 12-18 , Shoujo manga is for gilrs age 12-18. Josei manga is for adult ladies above the age of 20, mainly working women. Seinen manga is for young men between the ages of 18 and 30, and Hentai manga is pornographic, adult manga. ;; As you can see, saying 'comics from Japan' is wrong. Another difference between manga and Western comics is that each comics volume has its own plot, while manga volumes all follow the same plot. The artwork is VERY different. Manga has its own particular artwork, especially when it comes to human faces, particularly the eyes, chin, nose, mouth, forehead... Manga is also read from RIGHT to LEFT. (Yes, even the English ones). ;; In Japan, 40% of all book & magazine sales are manga. That's a huge number, considering the Japanese read A LOT. In 1998, about 3 billion manga volumes were printed in Japan, I'm sure that number is higher now. ;; Many manga have been translated to English and are sold everywhere."
125592,275450,Picard maneuver,118,140,a6c97ba3,What Capt. Picard did to defeate the Ferangi.
125879,276016,one minute man,306,44,503799,a guy that cums within or soon after one minute.
126320,276834,Clit Commander,155,86,e994aeab,One who is a commander of a clit through sexual pleasure and/or stimulation of the clit
126856,277873,one minute man,199,82,31f0d3de,"Any person of the male human species that reaches orgasms quickly, and therefore, only has sex for a minute before cumming and leaving."
128256,280587,Armani,131,230,d1727f6d,Da illest gear on da planet homes.
129050,282034,woman on top,547,138,e2644c9d,The woman is on top during sex. Possibly THE greatest sexual position.
129474,282847,woman,1204,840,a8d3c846,"the female half of the human race. different from man in a few ways ;; 1. More creative due to more right-brained-ness ;; 2. Slighter smaller muscle mass ;; 3. The ability to give birth ;; 4. Usually more emotional due to biology ;; 5. Usually less sex-crazed, again due to biology ;; 6. and the obvious"
130728,285782,romantic friendship,181,49,b1aa1d2a,"a friendship, often between members of the same sex, which is tender, caring, affectionate and resonant, but which generally does not involve sex or sexual contact."
131528,287818,man boobies,159,57,4211ac4b,"Large Fat filled flaps of skin on the chests of star trek, lord of the rings, starwars, etc. watching virgins."
132248,289696,nymphomania,112,50,5d65c586,Characterized by pathological and indiscriminate sexual activity. (female) Satyrisis(male)
133382,292717,uma thurman,111,91,aaeb364f,A great actress who deserved to win the best supporting actress Oscar in 1994 for Pulp Fiction. Now currently starring in Tarantinos epic movie Kill Bill.
133953,294255,Little man syndrome,596,270,a2b7c9ea,Condition whereby undersized men compensate for their smallness by physically asserting their presence.
134051,294449,rainman,183,96,423751d7,someone of a borderline autistic nature; an idiot savant.
134381,295374,Humanity,223,85,ac567f03,"1. The condition or quality of being human. ;; 2. A self-referential, conceited and delusional concept of benevolence despite 20,000 years of history as evidence to the contrary."
134756,296373,afroman,112,23,1ff459a0,"great rapper, his songs [colt 45] and [because i got high] are great and really funny."
135298,297695,Cheeseman,111,90,aeddb4ba,A faggot with a fondness for buttplugs
135406,297942,manboobs,158,55,fbcab78e,what really fat men have. They look like big sacks of mayonaise blended in with the skin.
136850,301686,german dungeon porn,203,99,655ca517,"sickest porn on the net, as of last monday...we'll see what the future of internet porn holds."
137069,302240,Pyromaniac,180,58,2a5c0bad,One who enjoys all that fire has to offer. Could be artists or maniacs.
137129,302410,human,262,116,8a973c8d,"Although one of the weaker creatures, they managed to survive by using their intelligence instead of their strenght... most wild creatures.. even an pig can take on an human easily but humans have outsmarted other creatures and conquered the world.."
138280,305340,man boobs,160,78,e62aaac6,what guys get after eating to much chicken
139207,307825,wingman,141,95,1ff459a0,Someone who goes along with their friend on a date so that when their friend picks up the hot girl the wingman gets stuck with her ugly friend. A very noble job and guys usually switch off wingmen at different clubs. See [fall on the grenade].
140375,310736,batty man,139,50,e498e878,"one who is gay, homosexual,or chichi"
140454,310940,boogeyman,262,64,51a4a6d0,"The scary monster man that gets little kids at night, usually found under the bed or in a dark closet."
141275,313133,mans,237,93,52349892,"home boy(s), friend(s), mate(s), people you hang around with."
142312,315703,how many beans make five,120,57,a0c77df,"An old British expression, used in the context 'he knows how many beans make five', meaning 'he knows his stuff' or referring to one who's good at mathematical puzzlers. Derives from the days of the abacus, when the wooden beads (beans) were moved along in various increments."
142409,315994,little man in the pink canoe,127,39,5b2cc65b,womans clit.
142726,316810,Fancy Schmancy,320,95,3fae2a9a,Insulting high class.
142961,317380,mana,143,60,cc559c17,"band leader of moi dix mois, former malice mizer leader, and the producer of schwarz stein."
146497,326580,germanophile,200,55,b1aa1d2a,"one who loves to the point of adoration, scholorship, and immersion german language, art, music, mannerisms, history, politics, people, architecture, film, food, cars, kitsch, costume, herritage, folk culture, literature, philosophy, mythology, craftmanship....."
147439,329069,manboobs,112,28,d990519d,what are the things you got sticking out of your shirt
147636,329622,the man show,228,96,3d8d2c88,"A show that used to be good until Adam Corolla and Jimmy Kimmel retired, then it just turned into total crap."
148106,330795,cocksman,419,97,39bf0765,A man well schooled and/or trained in the art of sexual stimulation using his penis.
148293,331255,afroman,147,79,d60d7d4a,uhh i`m to high to wright one
149489,334295,he man,116,40,88dde395,"AKA Prince Adam, One of the Master's of the Universe. Transforms into He Man after saying 'By the power of Grayskull...I have the power!!'"
149570,334478,Lieberman,198,31,d596cbc1,a polititian who looks like senator palpatine from starwars
150102,335860,Hitman,507,79,a97cdee4,"A person, usually male (thus the 'man' part) who kills for money. The suave, suit-wearing type romanticized by movies and video games are a rare breed these days, if not completely nonexistant (except maybe in governmental capacities.) Hired assassins are never suave, and they rarely wear suits."
150186,336071,woman,7652,1251,8e325ca9,a female human
151139,338342,transman,183,40,e1ac4b5a,"A transgendered person who was born female but has transitioned to masculinity through hormones, chest surgery, bottom surgery, and/or simply by identifying as male."
151155,338387,rastaman,109,45,af7f6347,[Rastafarian].
